WB_UWBI,PROD_DAY,GOV_FIELD_NAME,GOV_WB_NAME,WELL_UWI,INJ_TYPE,WB_INJ_VOL
NO 16/2-D-10 T3,2022-03-15T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,2602927.97672
NO 16/2-D-10 T3,2022-10-29T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,1403427.33897
NO 16/2-D-10 T3,2022-10-30T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,310389.16577
NO 16/2-D-10 T3,2022-10-31T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,296605.17474
NO 16/2-D-10 T3,2022-11-01T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,298209.62738
NO 16/2-D-10 T3,2022-11-02T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,298136.40963
NO 16/2-D-10 T3,2022-11-03T00:00:00,JOHAN SVERDRUP,16/2-D-10,NO 16/2-D-10,GI,155301.96336
NO 16/2-D-37,2022-11-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,
NO 16/2-D-37,2022-11-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2022-11-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,516.72789
NO 16/2-D-37,2022-11-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2176.98911
NO 16/2-D-37,2022-11-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3860.56709
NO 16/2-D-37,2022-12-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3685.35958
NO 16/2-D-37,2022-12-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3495.59775
NO 16/2-D-37,2022-12-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3429.37666
NO 16/2-D-37,2022-12-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3322.60824
NO 16/2-D-37,2022-12-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3227.42292
NO 16/2-D-37,2022-12-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3300.39961
NO 16/2-D-37,2022-12-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3246.89998
NO 16/2-D-37,2022-12-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3205.23542
NO 16/2-D-37,2022-12-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3127.52106
NO 16/2-D-37,2022-12-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3118.21492
NO 16/2-D-37,2022-12-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3120.68
NO 16/2-D-37,2022-12-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3101.20357
NO 16/2-D-37,2022-12-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3061.53099
NO 16/2-D-37,2022-12-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2861.01563
NO 16/2-D-37,2022-12-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2972.70691
NO 16/2-D-37,2022-12-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2945.17928
NO 16/2-D-37,2022-12-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1715.88489
NO 16/2-D-37,2022-12-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1310.45051
NO 16/2-D-37,2022-12-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3228.79353
NO 16/2-D-37,2022-12-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2957.6298
NO 16/2-D-37,2022-12-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2945.14636
NO 16/2-D-37,2022-12-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2947.44191
NO 16/2-D-37,2022-12-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2938.73542
NO 16/2-D-37,2022-12-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2943.34516
NO 16/2-D-37,2022-12-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2935.98014
NO 16/2-D-37,2022-12-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2937.84593
NO 16/2-D-37,2022-12-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2939.0684
NO 16/2-D-37,2022-12-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2938.2709
NO 16/2-D-37,2022-12-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2940.05039
NO 16/2-D-37,2022-12-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2955.88875
NO 16/2-D-37,2022-12-31T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2956.30857
NO 16/2-D-37,2023-01-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3009.78056
NO 16/2-D-37,2023-01-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3013.83982
NO 16/2-D-37,2023-01-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2706.87075
NO 16/2-D-37,2023-01-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2954.98056
NO 16/2-D-37,2023-01-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,3023.97708
NO 16/2-D-37,2023-01-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2981.23413
NO 16/2-D-37,2023-01-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2958.07562
NO 16/2-D-37,2023-01-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2992.78824
NO 16/2-D-37,2023-01-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2996.50693
NO 16/2-D-37,2023-01-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2984.75009
NO 16/2-D-37,2023-01-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1922.84576
NO 16/2-D-37,2023-01-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2730.1678
NO 16/2-D-37,2023-01-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2775.46498
NO 16/2-D-37,2023-01-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2892.39758
NO 16/2-D-37,2023-01-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2889.79073
NO 16/2-D-37,2023-01-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2911.90658
NO 16/2-D-37,2023-01-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2909.4737
NO 16/2-D-37,2023-01-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2908.06055
NO 16/2-D-37,2023-01-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2903.45928
NO 16/2-D-37,2023-01-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2745.43285
NO 16/2-D-37,2023-01-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2733.45058
NO 16/2-D-37,2023-01-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2725.49064
NO 16/2-D-37,2023-01-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2794.44985
NO 16/2-D-37,2023-01-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2780.69824
NO 16/2-D-37,2023-01-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2775.84592
NO 16/2-D-37,2023-01-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2789.74721
NO 16/2-D-37,2023-01-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2818.09567
NO 16/2-D-37,2023-01-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2870.15911
NO 16/2-D-37,2023-01-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2874.02599
NO 16/2-D-37,2023-01-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2564.83693
NO 16/2-D-37,2023-01-31T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2747.62526
NO 16/2-D-37,2023-02-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2745.4897
NO 16/2-D-37,2023-02-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,666.89684
NO 16/2-D-37,2023-02-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-02-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-02-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-02-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1004.6938
NO 16/2-D-37,2023-02-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2839.49556
NO 16/2-D-37,2023-02-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2749.91073
NO 16/2-D-37,2023-02-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2748.73286
NO 16/2-D-37,2023-02-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2732.1055
NO 16/2-D-37,2023-02-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2785.9937
NO 16/2-D-37,2023-02-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2885.27455
NO 16/2-D-37,2023-02-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2308.41221
NO 16/2-D-37,2023-02-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2892.40578
NO 16/2-D-37,2023-02-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2872.56366
NO 16/2-D-37,2023-02-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2844.39721
NO 16/2-D-37,2023-02-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2756.80967
NO 16/2-D-37,2023-02-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2821.28431
NO 16/2-D-37,2023-02-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2810.24244
NO 16/2-D-37,2023-02-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2755.72059
NO 16/2-D-37,2023-02-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2742.78493
NO 16/2-D-37,2023-02-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2755.22162
NO 16/2-D-37,2023-02-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2747.55073
NO 16/2-D-37,2023-02-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2744.38952
NO 16/2-D-37,2023-02-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2761.43654
NO 16/2-D-37,2023-02-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2749.00618
NO 16/2-D-37,2023-02-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2742.01081
NO 16/2-D-37,2023-02-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2744.98931
NO 16/2-D-37,2023-03-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2740.99691
NO 16/2-D-37,2023-03-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2738.04732
NO 16/2-D-37,2023-03-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2737.66862
NO 16/2-D-37,2023-03-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2744.54276
NO 16/2-D-37,2023-03-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2747.61601
NO 16/2-D-37,2023-03-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2786.84913
NO 16/2-D-37,2023-03-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1563.14307
NO 16/2-D-37,2023-03-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-03-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-03-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1008.37143
NO 16/2-D-37,2023-03-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-03-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2301.30068
NO 16/2-D-37,2023-03-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2823.99663
NO 16/2-D-37,2023-03-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2798.15073
NO 16/2-D-37,2023-03-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2733.41334
NO 16/2-D-37,2023-03-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2781.88201
NO 16/2-D-37,2023-03-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2732.72033
NO 16/2-D-37,2023-03-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2720.73145
NO 16/2-D-37,2023-03-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2722.39881
NO 16/2-D-37,2023-03-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2862.46124
NO 16/2-D-37,2023-03-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2661.48486
NO 16/2-D-37,2023-03-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2739.67373
NO 16/2-D-37,2023-03-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2767.08712
NO 16/2-D-37,2023-03-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2727.16901
NO 16/2-D-37,2023-03-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2746.82883
NO 16/2-D-37,2023-03-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2666.45179
NO 16/2-D-37,2023-03-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2779.16748
NO 16/2-D-37,2023-03-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2760.95802
NO 16/2-D-37,2023-03-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2752.21308
NO 16/2-D-37,2023-03-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2760.32787
NO 16/2-D-37,2023-03-31T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2734.3306
NO 16/2-D-37,2023-04-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2734.46764
NO 16/2-D-37,2023-04-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2740.37179
NO 16/2-D-37,2023-04-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2746.33017
NO 16/2-D-37,2023-04-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2780.33948
NO 16/2-D-37,2023-04-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2824.0451
NO 16/2-D-37,2023-04-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2820.21654
NO 16/2-D-37,2023-04-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2812.96389
NO 16/2-D-37,2023-04-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2821.40203
NO 16/2-D-37,2023-04-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,5068.69782
NO 16/2-D-37,2023-04-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2757.25425
NO 16/2-D-37,2023-04-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2748.53435
NO 16/2-D-37,2023-04-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2767.68463
NO 16/2-D-37,2023-04-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2750.80283
NO 16/2-D-37,2023-04-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2758.81182
NO 16/2-D-37,2023-04-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2759.67578
NO 16/2-D-37,2023-04-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2744.35091
NO 16/2-D-37,2023-04-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2732.61234
NO 16/2-D-37,2023-04-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2732.48312
NO 16/2-D-37,2023-04-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,201.13029
NO 16/2-D-37,2023-04-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-04-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,54.19205
NO 16/2-D-37,2023-05-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1217.25067
NO 16/2-D-37,2023-05-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-13T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-14T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-15T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-16T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-17T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-18T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-05-19T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,536.67023
NO 16/2-D-37,2023-05-20T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2548.34944
NO 16/2-D-37,2023-05-21T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2539.67688
NO 16/2-D-37,2023-05-22T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2615.60811
NO 16/2-D-37,2023-05-23T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2547.55992
NO 16/2-D-37,2023-05-24T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2487.68903
NO 16/2-D-37,2023-05-25T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2447.13273
NO 16/2-D-37,2023-05-26T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2630.07354
NO 16/2-D-37,2023-05-27T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2559.87287
NO 16/2-D-37,2023-05-28T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2542.2606
NO 16/2-D-37,2023-05-29T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2738.2093
NO 16/2-D-37,2023-05-30T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2657.53559
NO 16/2-D-37,2023-05-31T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2592.97719
NO 16/2-D-37,2023-06-01T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2658.78815
NO 16/2-D-37,2023-06-02T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2649.84803
NO 16/2-D-37,2023-06-03T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2684.05509
NO 16/2-D-37,2023-06-04T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2698.65063
NO 16/2-D-37,2023-06-05T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2639.46867
NO 16/2-D-37,2023-06-06T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,2630.47131
NO 16/2-D-37,2023-06-07T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,1515.80203
NO 16/2-D-37,2023-06-08T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,23.46522
NO 16/2-D-37,2023-06-09T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-06-10T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-06-11T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
NO 16/2-D-37,2023-06-12T00:00:00,JOHAN SVERDRUP,16/2-D-37,NO 16/2-D-37,WI,0.0
